站点名称,地址,面积,联系电话,器材名称和数量,器材数
区级健康体质指导中心,江宁路422号二楼,500.0,6.2086753E7,14件：身高测试仪、体重测试仪、握力测试仪、肺活量测试仪、坐位体前屈测试仪、纵跳测试仪、闭眼单脚站立测试仪、反应时测试仪、台阶试验测试仪、俯卧撑测试仪、一分钟仰卧起坐测试仪、亚健康测试仪、骨密度测试仪、身体成分测试仪,14.0
市北医院体质测试中心,共和新路4500号(近汾西路)市北医院五楼,100.0,6.2896063E7,14件：身高测试仪、体重测试仪、握力测试仪、肺活量测试仪、坐位体前屈测试仪、纵跳测试仪、闭眼单脚站立测试仪、反应时测试仪、台阶试验测试仪、俯卧撑测试仪、一分钟仰卧起坐测试仪、动脉硬化测试仪、骨密度测试仪、身体成分测试仪,14.0
南京西路街道社区生活服务中心,南京西路591弄5号102室,50.0,6.2173238E7,11件：身高测试仪、体重测试仪、握力测试仪、肺活量测试仪、坐位体前屈测试仪、纵跳测试仪、闭眼单脚站立测试仪、反应时测试仪、台阶试验测试仪、俯卧撑测试仪、一分钟仰卧起坐测试仪,11.0
江宁路街道陕西北路健康驿站,陕西北路913号,100.0,6.3808018E7,11件：身高测试仪、体重测试仪、握力测试仪、肺活量测试仪、坐位体前屈测试仪、纵跳测试仪、闭眼单脚站立测试仪、反应时测试仪、台阶试验测试仪、俯卧撑测试仪、一分钟仰卧起坐测试仪,11.0
静安寺街道愚园路健康驿站,愚园路395弄10号后门,80.0,6.2896063E7,11件：身高测试仪、体重测试仪、握力测试仪、肺活量测试仪、坐位体前屈测试仪、纵跳测试仪、闭眼单脚站立测试仪、反应时测试仪、台阶试验测试仪、俯卧撑测试仪、一分钟仰卧起坐测试仪,11.0
曹家渡街道昌平路健康驿站,昌平路900号,80.0,6.2896063E7,11件：身高测试仪、体重测试仪、握力测试仪、肺活量测试仪、坐位体前屈测试仪、纵跳测试仪、闭眼单脚站立测试仪、反应时测试仪、台阶试验测试仪、俯卧撑测试仪、一分钟仰卧起坐测试仪,11.0
石门二路街道蝴蝶湾健康驿站,石门二路505号2楼,50.0,6.2896063E7,11件：身高测试仪、体重测试仪、握力测试仪、肺活量测试仪、坐位体前屈测试仪、纵跳测试仪、闭眼单脚站立测试仪、反应时测试仪、台阶试验测试仪、俯卧撑测试仪、一分钟仰卧起坐测试仪,11.0
共和新路街道为老服务中心康健驿站,中山北路805弄34号甲2楼可由共和新路1280弄进入,150.0,6.6050807E7,11件：身高测试仪、体重测试仪、握力测试仪、肺活量测试仪、坐位体前屈测试仪、纵跳测试仪、闭眼单脚站立测试仪、反应时测试仪、台阶试验测试仪、俯卧撑测试仪、一分钟仰卧起坐测试仪,11.0
宝山路街道社区康健驿站,芷江中路412号,100.0,5.6819928E7,11件：身高测试仪、体重测试仪、握力测试仪、肺活量测试仪、坐位体前屈测试仪、纵跳测试仪、闭眼单脚站立测试仪、反应时测试仪、台阶试验测试仪、俯卧撑测试仪、一分钟仰卧起坐测试仪,11.0
天目西路街道康健驿站,沪太路150号4楼,41.0,3.6350792E7,11件：身高测试仪、体重测试仪、握力测试仪、肺活量测试仪、坐位体前屈测试仪、纵跳测试仪、闭眼单脚站立测试仪、反应时测试仪、台阶试验测试仪、俯卧撑测试仪、一分钟仰卧起坐测试仪,11.0
芷江西路街道康健驿站,南山路100号,78.0,5.6980068E7,11件：身高测试仪、体重测试仪、握力测试仪、肺活量测试仪、坐位体前屈测试仪、纵跳测试仪、闭眼单脚站立测试仪、反应时测试仪、台阶试验测试仪、俯卧撑测试仪、一分钟仰卧起坐测试仪,11.0
