接种单位类型,接种单位简称,联系电话,地址,新生儿,儿童,成人,卡介苗,犬伤,大学生,涉外,服务时间
社区接种门诊,江宁路街道社区卫生服务中心,3.2029088E7,淮安路736号,,√,√,,,√,,儿童：周一至周六，上午8:00-11:00；成人：周一下午13:30-16:00
社区接种门诊,静安寺街道社区卫生服务中心,6.217606E7,新闸路1729号,,√,√,,,√,,儿童：周一、三、五、六，上午8:00-11:00；成人：周三下午14:00-16:00
社区接种门诊,曹家渡街道社区卫生服务中心,6.2268811E7,万航渡路858弄5号,,√,√,,,√,,儿童：周一至周五，上午8:00-11:00；周六，上午8:30-11:00；成人：周三下午14:00-16:00
社区接种门诊,石门二路街道社区卫生服务中心,6.2563921E7,山海关路456号,,√,√,,,√,,儿童：周一、二、四、六，上午8:00-11:00；成人：周二下午14:00-16:00
社区接种门诊,南京西路街道社区卫生服务中心,63182117转863,成都北路165号,,√,√,,,√,,儿童：周一、三、五、六，上午8:00-11:00；成人：周三下午14:00-16:00
社区接种门诊,北站街道社区卫生服务中心,6.3061352E7,大统路168号,,√,√,,,√,,儿童：周一至周六，上午8:00-11:00；成人：周四下午14:00-16:00
社区接种门诊,宝山街道社区卫生服务中心,5.6970879E7,天通庵路51号,,√,√,,,√,,儿童：周一至周六，上午8:00-11:00；成人：周三下午14:00-16:00
社区接种门诊,共和新路街道社区卫生服务中心,5.638202E7,洛川东路151号,,√,√,,,√,,儿童：周一至周六，上午8:00-11:00；成人：周二下午14:00-16:00
社区接种门诊,芷江西路街道社区卫生服务中心,5.6629125E7,芷江西路335号,,√,√,,,√,,儿童：周一至周六，上午8:00-11:00；成人：周二下午14:00-16:00
社区接种门诊,彭浦镇社区卫生服务中心,5.6034174E7,平陆路277号,,√,√,,,√,,儿童：周一至周六，上午8:00-11:00；成人：周三下午14:00-16:00
社区接种门诊,大宁街道社区卫生服务中心,5.677851E7,共和新路2301弄1号,,√,√,,,√,,儿童：周一至周六，上午8:00-11:00；成人：周二、周四下午14:00-16:00
社区接种门诊,彭浦新村街道社区卫生服务中心,5.6911536E7,平顺路15号,,√,√,,,√,,儿童：周一至周六，上午8:00-11:00；
社区接种门诊,,,,,,,,,,,成人：周二下午14:00-16:30
社区接种门诊,临汾街道社区卫生服务中心,5.683111E7,临汾路397号,,√,√,,,√,,儿童：周一至周六，上午8:00-11:00；
社区接种门诊,,,,,,,,,,,成人：周一下午14:00-16:00
社区接种门诊,天目西路街道社区卫生服务中心,6.3540602E7,梅园路111号,,√,√,,,√,,儿童：周一至周六，上午8:00-11:00；
社区接种门诊,,,,,,,,,,,成人：周二下午14:00-16:00
社区接种门诊,彭浦镇第二社区卫生服务中心,5.6687626E7,高平路1011号,,√,√,,,√,,儿童：周一至周六，上午8:00-11:00（仅限预约）；
社区接种门诊,,,,,,,,,,,成人：周三下午14：00-16:00（仅限预约）
产科接种门诊,上海市第一妇婴保健院,2.0261E7,长乐路536号,√,,,,,,,只接种本机构出生的新生儿
产科接种门诊,静安区闸北中心医院,5.6628584E7,中华新路619号,√,,,,,,,只接种本机构出生的新生儿
产科接种门诊,上海市第十人民医院,6.6307184E7,延长中路301号,√,,,,,,,只接种本机构出生的新生儿
产科接种门诊,上海瑞慈水仙妇产医院,3.2113021E7,北京西路1314号、1320号3幢,√,,,,,,,只接种本机构出生的新生儿
犬伤门诊,静安区中心医院,6.1578E7,西康路259号,,,,,√,,,24小时
犬伤门诊,静安区闸北中心医院,5.6628584E7,中华新路619号,,,,,√,,,24小时
卡介苗门诊,静安区闸北中心医院,5.6628584E7,中华新路619号,,,,√,,,,周二（皮试）、周五（接种），上午8:30-11:00
特需接种门诊,上海华顺医院,5.2889998E7,乌鲁木齐中路12号,,,√,,,,√,周六8:00-11:00
特需接种门诊,复旦大学附属华东医院,6.248318E7,延安西路221号,,,√,,,,,周一至周五，上午8:00-11:30，下午13:30-16:30；周六，8:30-11:30（仅限预约）
特需接种门诊,上海市儿童医院,6.2792302E7,北京西路1400弄24号,,√,,,,,,周二、周六，上午8:00-11:00
特需接种门诊,上海全康医疗有限公司,5.2986339E7,南京西路1788号3楼,,√,√,,,,√,周一至周五，上午8:00-下午19:00；
特需接种门诊,,,,,,,,,,,周六、日，上午9:00-下午17:00
特需接种门诊,上海瑞新医疗中心有限公司,6.2797699E7,南京西路1376号西峰3楼315室,,√,√,,,,√,周一至周五，上午9:00-下午19:00；周六、日，上午9:00-下午17:00
特需接种门诊,上海嘉静门诊部,4.008683E9,常熟路88号101室,,√,√,,,,√,周一至周六，上午9:00-下午18:00
特需接种门诊,上海市第一妇婴保健院,20261000转1666,长乐路536号,,,√,,,,,周五下午13:30-15:30（仅限预约）（暂停门诊）
特需接种门诊,上海医杏门诊部,6.1076988E7,华山路2号10楼,,√,√,,,,√,周一至周日，上午8：30-下午18:30
特需接种门诊,上海睿宝极宝儿科门诊部,5.6202192E7,曲阜路123弄35号208、209室,,√,,,,,,周一至周日，上午9：00-下午18:00
