单位名称,所属街道,地址,联系电话,开放时间,机构简介
宝山区疾病预防控制中心,杨行镇,宝山区月明路158号,3.379676E7,上午8:30-11:30，下午13:00-16:30,上海市宝山区疾病预防控制中心承担本区传染病和慢性非传染性疾病的预防控制以及突发公共卫生事件应急处置等工作，是全区疾病预防控制、卫生监测检验、科研培训、质量控制、健康教育的技术指导中心。
宝山区精神卫生中心医院,友谊路街道,上海市宝山区友谊支路312号,5.6692138E7,周一至周五 上午：8:00-11:30 下午：13:00-16:30（夏令时13:30-16:30）,上海市宝山区精神卫生中心是上海市二级甲等精神病医院。承担区域内精神疾病和心理行为问题的预防、治疗与康复、科研及教学工作。是上海市文明单位，是市九院北院、市一宝山分院全科医师规范化培训精神科培训基地，也是区内各社区卫生服务中心精神医学教学、培训进修基地。
宝山区人口和计划生育指导中心,吴淞街道,宝山区同泰北路547号,5.6178532E7,周一 -- 周五8：30-16：30,上海市宝山区人口和计划生育指导中心（宝山区家庭计划指导中心），归属上海市宝山区卫生健康委员会，是一家承担全区计划生育政策和生殖健康宣传教育、免费避孕药具发放与管理、家庭健康促进为主的全额拨款事业单位。
上海市宝山区卫生健康委员会监督所,淞南镇,宝山区长江路860弄8号6号楼,3.3796312E7,周一至周五上午8:30至11:30；下午1:00至4:30；夏令时间下午1:30-4:30；周六、周日、固定节假日全天休息,上海市宝山区卫生健康委员会监督所（原上海市宝山区卫生局卫生监督所）成立于1999年4月，是上海市宝山区卫生健康委员会行使卫生监督职能的执行机构，属行政执法类单位，列入参照公务员管理范围。
上海市宝山区爱国卫生和健康促进指导中心,吴淞街道,宝山区泰和路245号,5.6155135E7,周一至周五 上午：8:30—11:00，下午：13:00—16:30,上海市宝山区爱国卫生和健康促进指导中心归属于上海市宝山区卫生健康委员会，主要承担组织、协调全区爱国卫生和健康促进工作，是一家相当于副处级的事业单位（公益一类）。中心内部科室设置为综合科、健康促进科和老龄工作科，核定事业编制数为16名。
上海交通大学医学院附属仁济医院宝山分院,大场镇,宝山区环镇北路1058号,66893999*1660,门诊： 1.周一至周五：08:00-16:30 2. 节假日：另行通知。急诊：全年24小时开放,
宝山区罗店医院,罗店镇,罗店镇永顺路88号,总机：021-66861212 ；便民服务中心：021-66861212-3103,门诊： 1.周一至周五：上午08:00-11:30 下午13:00-16:30 2.周六至周日：上午08:00-11:30 3.节假日：另行通知。 急诊：全年24小时开放,
上海市宝山区医疗急救中心,月浦镇,宝山区马泾桥三村10号,3.3796376E7,上午8:30——下午16:30（双休日除外）,
上海市宝山区中西医结合医院（上海中医药大学附属宝山医院、上海中医药大学附属曙光医院宝山分院）,友谊路街道,上海市宝山区友谊路181号、团结路28号、友谊支路301号,5.6605987E7,门诊：周一至周五：上午8:00~11:30　 下午13:00~17:00 　　 周六、周日：上午8:00~11:30　 下午13:00~15:00 急诊：24小时照常,
上海市宝山区妇幼保健所,吴淞街道,水产路1138号,5.6174273E7,周一至周五（8:30-16:30）,
宝山区老年护理院,庙行镇,上海市宝山区南蕰藻路999号2号楼4-9层（临时租用）,021-56995827,周一至周日上午8：00～11：30，下午1：00～4：30,
宝山区仁和医院,张庙街道,上海市宝山区长江西路1999号,5.6731199E7,门诊时间： 周一—周四：上午8:00-11:30 下午13:00-16:30 周五、夏令时：上午8:00-11:30 下午13:30—16:30 周六：上午8:00-11:30 急诊时间：24小时,
上海市第二康复医院,淞南镇,宝山区长江路860弄25号,总机：021-66180208 ；便民服务中心：021-66180208-8125,门诊： 1.周一至周五：8：00-11:30；13:30-16:30（夏令时） 2.周一至周五：8：00-11:30；13:00-16:30（非夏令时）节假日：另行通知。,
复旦大学附属中山医院吴淞医院（上海市宝山区吴淞中心医院）,宝山区吴淞街道,上海市宝山区牡丹江路216号（同泰北路101号）,5.6162417E7,门诊：周一至周五：上午8:00—11:30 下午13:00—16:30 　　 周六、周日：上午8:00—11:30　 急诊：24小时开放,
上海中冶医院（上海金惠康复医院）,月浦镇,综合性总院：上海市宝山区月浦春雷路456号 蕰川路院区（康复医学科）：上海市宝山区蕰川路3739号 富锦路院区（手足外科）：上海市宝山区富锦路900号,医院总机：021-56647585；体检咨询：021-56191201 蕰川路院区（康复医学专科）：021-56649794 富锦路院区（手足外科）：021-36213946,医院总机：021-56647585；体检咨询：021-56191201 蕰川路院区（康复医学专科）：021-56649794 富锦路院区（手足外科）：021-36213946,
宝山区血液管理中心,吴淞街道,宝山区牡丹江路186弄1号二楼,6.6650059E7,周一至周五上午8:30～11:15 下午13:00～16:15,
上海市宝山区卫生事务管理中心,友谊路街道,上海市宝山区友谊路53号208,3.6588136E7,上午8:30-11:30 下午13:00-16:30 （夏令时间13：30-16:30）,
