医疗机构名称,地址,邮政编码,电话,机构类别
上海市普陀区曹杨街道社区卫生服务中心,兰溪路121号,200062.0,6.2164506E7,一级医院
上海市普陀区宜川街道社区卫生服务中心,骊山路43号,200065.0,5.6096836E7,一级医院
上海市普陀区石泉街道社区卫生服务中心,管弄路297号,200061.0,6.2148606E7,一级医院
上海市普陀区桃浦镇社区卫生服务中心,雪松路302号,200331.0,6.6260808E7,一级医院
上海市普陀区桃浦镇第二社区卫生服务中心,真南路822弄420号,200331.0,5.1796808E7,一级医院
上海市普陀区长征镇社区卫生服务中心,千阳路209号,200333.0,5.2693399E7,一级医院
上海市普陀区长寿街道社区卫生服务中心,长寿路170号,200060.0,3.2270165E7,一级医院
上海市普陀区长风街道长风社区卫生服务中心,金沙江路906号,200062.0,6.2656585E7,一级医院
上海市普陀区长风街道白玉社区卫生服务中心,曹杨路421号,200063.0,6.2440505E7,一级医院
上海市普陀区甘泉街道社区卫生服务中心,平利路57号,200065.0,5.6075561E7,一级医院
上海市普陀区真如镇街道社区卫生服务中心,真如西村115号,200333.0,6.2651814E7,一级医院
上海市普陀区万里街道社区卫生服务中心,万泉路115号,200063.0,5.6081881E7,"一级医院   "
