序号,名称,类别,医疗机构,地址
1.0,虹口区民办医院一览表,综合医院,上海都市医院,大连西路555-557号一、二、三层
2.0,虹口区民办医院一览表,综合医院,上海东华医院（上海东华护理院）,水电路1661弄9号
3.0,虹口区民办医院一览表,专科医院,上海愉悦美联臣医疗美容医院,四平路776号
4.0,虹口区民办医院一览表,专科医院,上海中大肿瘤医院,场中路685弄2－8号
5.0,虹口区民办医院一览表,专科医院,上海衡山虹妇幼医院,舟山路445号
6.0,虹口区民办医院一览表,专科医院,上海和平眼科医院,伊敏河路61号
7.0,虹口区民办医院一览表,综合医院,上海天伦医院,凉城路545号；凉城路497号
8.0,虹口区民办医院一览表,综合医院,上海太安医院,汶水东路51号1-4层
9.0,虹口区民办医院一览表,综合医院,上海建工医院,中山北一路666号
10.0,虹口区民办医院一览表,综合医院,上海海江老年医院,丰镇路788号3-4幢
11.0,虹口区公办医院一览表,综合医院,上海航道医院,长阳路265号
12.0,虹口区公办医院一览表,综合医院,上海市江湾医院,四川北路1878号
13.0,虹口区公办医院一览表,综合医院,上海市中西医结合医院,保定路230号
14.0,虹口区公办医院一览表,综合医院,中国人民解放军第四--医院,东江湾路15号
15.0,虹口区民办医院一览表,综合医院,上海赤峰医院,赤峰路455号;东体育会支路41号
16.0,虹口区民办医院一览表,专科医院,上海康平医院,广粤路281号
17.0,虹口区民办医院一览表,综合医院,上海长江医院,周家嘴路515-535号
18.0,虹口区民办医院一览表,综合医院,上海曲阳医院,玉田路333号
19.0,虹口区公办医院一览表,综合医院,上海中医药大学附属岳阳中西医结合医院,甘河路110号
20.0,虹口区公办医院一览表,综合医院,上海市第四人民医院,三门路1279号/江杨南路279号
21.0,虹口区公办医院一览表,综合医院,上海交通大学医学院附属第一人民医院,武进路85号
