序号,诊疗机构名称,经营地址
1,上海皓源宠物诊所有限公司,碧江路484-486号
2,上海市闵行区麟麟宠物诊所,上海市闵行区江川路街道金平路48-B号
3,上海安安宠物有限公司金平路分公司,上海市闵行区金平路802号1-3层 
4,上海雨硕宠物用品有限公司闵行景谷中路第一分店,上海市闵行区景谷中路720号、722号2楼
5,上海红鼻子宠物诊疗有限公司,沪闵路69号2楼、71号、73号2楼
6,上海忆嘉宠物诊疗有限公司,闵行区浦江镇汇臻路912号101室
7,上海市闵行区浦江镇本众宠物医院 ,上海市闵行区浦江镇召楼路2028、2030号
8,上海航厚宠物诊所有限公司,联航路1505弄2号114室、1459号1层
9,上海悦宝宠物有限公司,上海市闵行区江文路121弄15号1层-02室、19号1层-02室
10,上海交农动物医疗有限公司闵行区分公司,闵行区吴中路507号
11,上海市闵行区龙柏金汇宠物诊所,红松路232号
12,上海市闵行区雨林宠物诊疗医院,闵行区吴中路1050号6幢111室
13,上海正洁宠物用品有限公司,闵行区虹梅路3306号
14,上海瑞鹏宠物医院有限公司龙柏分公司,青杉路185号
15,贝克和史东（北京）企业管理有限公司上海闵行贝克和史东动物医院分公司,青杉路66号
16,希尔斯宠物医院（上海）有限公司,上海市闵行区虹莘路3799弄3865号
17,上海正伊宠物有限公司,吴中路453号1幢
18,上海佩格医院管理有限公司姚虹路分公司,闵行区姚虹路107号一、二层，109号二层
19,上海星橙宠物诊疗有限公司,上海市闵行区龙茗路2910-2912号
20,上海宠爱天豪宠物医院有限公司,闵行区天豪路60号一楼105室
21,虹松（上海）宠物诊疗有限公司,上海市闵行区虹中路385号4幢103/104/105室
22,上海申丰畜牧兽医科技有限公司爱格贝特动物医院,闵行区北翟路2901号
23,上海闵行苗苗宠物诊疗有限公司,沪青平公路395号3幢107-3室
24,上海动物保健有限公司闵行分公司,上海市闵行区程家桥路155-175号4幢112室/114室
25,上海梵摩蕾宠物诊疗有限公司,上海市闵行区申滨路519弄100、101弄1-2层
26,上海牧爱宠物用品有限公司申长路分公司,上海市闵行区申长路1688弄1-12号4幢109室
27,上海市闵行区禾荟宠物诊所,上海市闵行区罗秀路1311号1层G室
28,上海观荣宠物医院有限公司,闵行区莲花南路1388号6幢49-50号
29,,上海市闵行区虹梅路2163号1-2层、2167号1-2层
30,上海萌兽莘虹宠物诊所有限责任公司,上海市闵行区莘朱路2102号4幢109-111室
31,上海交大农学院教学实验实习场有限公司农生宠物医院,上海市闵行区七莘路2678号122幢
32,上海乔登宠物诊所有限公司,沪松公路145号
33,上海瑞鹏宠物医院有限公司七宝分公司,七莘路3599弄11号135、136、142、143室
34,上海爱宠家园企业管理有限公司闵行分公司,航北路216号
35,上海闵行爱佶宠物有限公司,上海市闵行区吴中路2719号、2735号
36,上海安辰健平宠物医院有限公司,漕宝路1467弄2区5-7号
37,上海丁香宠物诊所有限公司,七莘路1680号、1682号二楼
38,上海维康宠物诊疗有限公司金丰路分公司,金丰路448号、450号
39,上海乐馥派宠物诊疗有限公司,上海市闵行区运乐路649号1层，569弄3号108、109室
40,翌景宠物诊疗（上海）有限公司,闵行区七莘路200号8幢1F19
41,上海和和宠物用品有限公司,水清路1012号
42,上海甄爱宠物诊所有限公司,疏影路725号
43,上海岛戈宠物有限公司莘庄分公司,七莘路658号101
44,上海芭比堂宠物医院有限公司莘庄分公司,闵行莘建支路72号
45,上海晶氏动物医疗有限公司,上海市闵行区名都路36弄14号一层1-A室
46,上海典石宠物诊所有限公司,沁春路311号、313号二层
47,上海信萌宠物医院有限公司,上海市闵行区秀涟路50号1-2层
48,上海申普兽医技术有限公司闵行申普宠物医院分公司,闵行区水清路1460弄1号105室
49,上海柏萃宠物诊疗有限公司,上海市闵行区梅陇西路2064号
50,上海市闵行区仁仪宠物诊所,上海市闵行区吴泾镇广南路349-351号1层
51,上海佩仕动物诊疗有限公司,上海市闵行区都市路3858-3862号
52,上海莘贵宠物诊所有限公司,上海市闵行区都市路2868号1-2层，2870号1-2层
53,上海皮多多宠物医院有限公司,上海市闵行区都市路341、345号1-2层、337号1层、333号201室
54,上海心宇宠物医院有限公司,伟都路125弄103/107号一层103C室
55,上海市小窝宠物诊疗有限公司,闵行区浦晓路298弄72号，68号201、202、203室
56,上海佩琪宠物诊疗有限公司浦秀路分公司,上海市闵行区浦秀路1268弄47号1-2层
57,上海市闵行区众众宠物医院,上海市闵行区浦锦街道浦锦路309弄6号地下1层01.02.03.04室
58,上海果果宠物医院有限公司,闵行区龙茗路1662号110.114室
59,上海福睿宠物有限公司,闵行区古美路555-573号二楼B区
60,菲拉皇赫宠物诊疗（上海）有限公司," 上海市闵行区东兰路238号G01-03/G13-16单元  "
61,菲拉凯蒂宠物诊疗（上海）有限公司," 上海市闵行区龙茗路1676号109室-110室、101A室  "
62,上海芭比堂派睦宠物医院有限公司,闵行区古龙路192-196号
63,上海牧爱宠物用品有限公司古美路分公司,上海市闵行区古美路39号-1
64,上海鹏峰宠物医院有限责任公司,上海市闵行区莲花南路144号、146号、148号
65,上海瑞鹏宠物医院有限公司龙茗路分公司,上海市闵行区龙茗路88号
66,上海心诺宠物医院有限公司,上海市闵行区龙吴路5859/5863/5867/5891号101室1楼
67,上海宠爱金瑛宠物医院有限公司,上海市闵行区虹中路399弄45号106室
