机构名称,注册区县,联系地址
香花桥街道阳光心园,青浦,香花桥街道向阳河路609号
华新镇阳光心园,青浦,青浦区华新镇凤友路168号
白鹤镇阳光心园,青浦,白鹤镇赵屯卫生院
盈浦街道阳光心园,青浦,上海青浦区漕盈路555弄58号楼二楼西
夏阳街道阳光心园,青浦,上海青浦夏阳街道青峰路19号
徐泾镇敬老院,青浦,明珠路305号
上海市青浦区华新镇康华养护院,青浦,华新镇华强路495号
上海市青浦区重固镇福泉养护院,青浦,福泉西路728号
上海市青浦区白鹤镇青龙养护院,青浦,外青松路2980号33弄
上海市青浦区香花桥街道大盈养护院,青浦,青赵路701号
上海市青浦区盈浦街道盈浦养护院,青浦,青屯路500号
上海市青浦区夏阳街道安康养护院,青浦,公园路2026弄22号
上海青浦区盈浦街道盈中敬老院,青浦,胜利路204弄
上海市青浦区练塘镇敬老院,青浦,练塘镇朱枫路10号
练塘镇蒸淀敬老院,青浦,蒸富路18号
上海市青浦区金泽镇商榻养护院,青浦,商榻镇
上海青浦区冉升塔湾新天地养老院,青浦,青浦区沪青平公路5251号
上海盈康养老院,青浦,青浦区大盈路488号
青浦区特殊教育康复指导中心,青浦,青浦区朱家角镇西井街
青浦区残疾人康复中心（青浦区朱家角人民医院）,青浦,青浦区朱家角人民医院住院部
华新镇残疾儿童康育院,青浦,青浦区华新镇新凤南路150号
重固镇阳光心园,青浦,重固镇芦花浜路29号
金泽镇阳光心园,青浦,金泽镇西岑练西公路4152号
朱家角镇阳光心园,青浦,青浦区朱家角镇祥凝浜里338弄78号
练塘镇阳光心园,青浦,练塘镇朱枫公路3619号
赵巷镇阳光心园,青浦,赵巷镇民实路58号
徐泾镇阳光心园,青浦," 青浦区徐泾镇明珠路1919弄生活综合楼2楼"
上海市青浦区亚莱菲养护院,青浦,上海市青浦区北青公路普光路209号
上海市青浦区亚莱菲护理院,青浦,上海市青浦区北青公路普光路209号
练塘九峰养护院,青浦,练塘镇张联村500号
上海市青浦区赵巷镇社区卫生服务中心,青浦,赵巷镇赵中路69号
上海市青浦区赵巷镇康宁养护院,青浦,赵华路470号
